timestamp,meter_id,kW,kWh,power_factor
2025-10-01 00:00:00,EM-L1-PM,106.7,26.674,0.946
2025-10-01 00:00:00,EM-MX,54.47,13.617,0.971
2025-10-01 00:00:00,EM-HM,57.61,14.403,0.957
2025-10-01 00:00:00,EM-BAG,37.35,9.338,0.96
2025-10-01 00:00:00,EM-BLR,62.79,15.697,0.957
2025-10-01 00:00:00,EM-MAIN,330.89,82.723,0.961
2025-10-01 00:15:00,EM-L1-PM,109.24,27.309,0.94
2025-10-01 00:15:00,EM-MX,48.15,12.038,0.936
2025-10-01 00:15:00,EM-HM,64.55,16.139,0.953
2025-10-01 00:15:00,EM-BAG,33.49,8.374,0.936
2025-10-01 00:15:00,EM-BLR,78.04,19.511,0.973
2025-10-01 00:15:00,EM-MAIN,347.69,86.923,0.948
2025-10-01 00:30:00,EM-L1-PM,96.36,24.091,0.935
2025-10-01 00:30:00,EM-MX,45.61,11.404,0.986
2025-10-01 00:30:00,EM-HM,47.95,11.987,0.956
2025-10-01 00:30:00,EM-BAG,39.76,9.94,0.95
2025-10-01 00:30:00,EM-BLR,76.35,19.089,0.971
2025-10-01 00:30:00,EM-MAIN,316.58,79.144,0.99
2025-10-01 00:45:00,EM-L1-PM,117.78,29.445,0.931
2025-10-01 00:45:00,EM-MX,50.84,12.709,0.949
2025-10-01 00:45:00,EM-HM,62.13,15.532,0.952
2025-10-01 00:45:00,EM-BAG,43.7,10.926,0.99
2025-10-01 00:45:00,EM-BLR,66.32,16.581,0.933
2025-10-01 00:45:00,EM-MAIN,355.87,88.967,0.958
2025-10-01 01:00:00,EM-L1-PM,109.01,27.254,0.961
2025-10-01 01:00:00,EM-MX,52.62,13.156,0.951
2025-10-01 01:00:00,EM-HM,66.28,16.57,0.93
2025-10-01 01:00:00,EM-BAG,37.06,9.264,0.943
2025-10-01 01:00:00,EM-BLR,65.07,16.268,0.951
2025-10-01 01:00:00,EM-MAIN,341.55,85.386,0.968
2025-10-01 01:15:00,EM-L1-PM,106.44,26.61,0.954
2025-10-01 01:15:00,EM-MX,48.5,12.124,0.943
2025-10-01 01:15:00,EM-HM,49.09,12.272,0.934
2025-10-01 01:15:00,EM-BAG,33.09,8.273,0.949
2025-10-01 01:15:00,EM-BLR,79.71,19.927,0.95
2025-10-01 01:15:00,EM-MAIN,329.26,82.314,0.959
2025-10-01 01:30:00,EM-L1-PM,98.73,24.683,0.94
2025-10-01 01:30:00,EM-MX,49.12,12.279,0.968
2025-10-01 01:30:00,EM-HM,54.87,13.717,0.973
2025-10-01 01:30:00,EM-BAG,36.71,9.178,0.973
2025-10-01 01:30:00,EM-BLR,71.36,17.84,0.978
2025-10-01 01:30:00,EM-MAIN,324.58,81.145,0.958
2025-10-01 01:45:00,EM-L1-PM,108.96,27.239,0.938
2025-10-01 01:45:00,EM-MX,54.95,13.738,0.915
2025-10-01 01:45:00,EM-HM,51.8,12.95,0.932
2025-10-01 01:45:00,EM-BAG,41.26,10.314,0.95
2025-10-01 01:45:00,EM-BLR,66.82,16.704,0.968
2025-10-01 01:45:00,EM-MAIN,333.71,83.428,0.975
2025-10-01 02:00:00,EM-L1-PM,109.52,27.38,0.946
2025-10-01 02:00:00,EM-MX,48.86,12.216,0.949
2025-10-01 02:00:00,EM-HM,55.02,13.754,0.92
2025-10-01 02:00:00,EM-BAG,42.41,10.604,0.933
2025-10-01 02:00:00,EM-BLR,68.51,17.129,0.921
2025-10-01 02:00:00,EM-MAIN,333.03,83.258,0.942
2025-10-01 02:15:00,EM-L1-PM,117.83,29.458,0.943
2025-10-01 02:15:00,EM-MX,51.36,12.84,0.956
2025-10-01 02:15:00,EM-HM,50.88,12.72,0.963
2025-10-01 02:15:00,EM-BAG,43.92,10.98,0.974
2025-10-01 02:15:00,EM-BLR,77.56,19.391,0.974
2025-10-01 02:15:00,EM-MAIN,356.51,89.127,0.978
2025-10-01 02:30:00,EM-L1-PM,118.17,29.543,0.943
2025-10-01 02:30:00,EM-MX,53.97,13.492,0.931
2025-10-01 02:30:00,EM-HM,50.81,12.704,0.979
2025-10-01 02:30:00,EM-BAG,39.21,9.804,0.963
2025-10-01 02:30:00,EM-BLR,71.88,17.971,0.954
2025-10-01 02:30:00,EM-MAIN,343.58,85.895,0.974
2025-10-01 02:45:00,EM-L1-PM,116.38,29.094,0.974
2025-10-01 02:45:00,EM-MX,52.05,13.012,0.94
2025-10-01 02:45:00,EM-HM,45.25,11.314,0.927
2025-10-01 02:45:00,EM-BAG,35.95,8.987,0.99
2025-10-01 02:45:00,EM-BLR,67.26,16.815,0.941
2025-10-01 02:45:00,EM-MAIN,326.34,81.585,0.942
2025-10-01 03:00:00,EM-L1-PM,111.43,27.857,0.965
2025-10-01 03:00:00,EM-MX,52.55,13.139,0.937
2025-10-01 03:00:00,EM-HM,55.77,13.942,0.957
2025-10-01 03:00:00,EM-BAG,44.74,11.186,0.948
2025-10-01 03:00:00,EM-BLR,67.08,16.769,0.99
2025-10-01 03:00:00,EM-MAIN,346.22,86.556,0.949
2025-10-01 03:15:00,EM-L1-PM,118.31,29.576,0.938
2025-10-01 03:15:00,EM-MX,49.69,12.421,0.939
2025-10-01 03:15:00,EM-HM,59.24,14.81,0.96
2025-10-01 03:15:00,EM-BAG,44.33,11.082,0.962
2025-10-01 03:15:00,EM-BLR,75.36,18.841,0.978
2025-10-01 03:15:00,EM-MAIN,356.02,89.005,0.966
2025-10-01 03:30:00,EM-L1-PM,116.36,29.09,0.933
2025-10-01 03:30:00,EM-MX,59.1,14.775,0.975
2025-10-01 03:30:00,EM-HM,60.99,15.247,0.962
2025-10-01 03:30:00,EM-BAG,31.09,7.772,0.984
2025-10-01 03:30:00,EM-BLR,62.92,15.731,0.97
2025-10-01 03:30:00,EM-MAIN,341.79,85.448,0.958
2025-10-01 03:45:00,EM-L1-PM,108.8,27.2,0.955
2025-10-01 03:45:00,EM-MX,50.51,12.628,0.932
2025-10-01 03:45:00,EM-HM,61.05,15.263,0.954
2025-10-01 03:45:00,EM-BAG,36.82,9.204,0.967
2025-10-01 03:45:00,EM-BLR,69.8,17.451,0.949
2025-10-01 03:45:00,EM-MAIN,337.26,84.316,0.972
2025-10-01 04:00:00,EM-L1-PM,100.46,25.115,0.954
2025-10-01 04:00:00,EM-MX,56.64,14.16,0.981
2025-10-01 04:00:00,EM-HM,56.38,14.095,0.956
2025-10-01 04:00:00,EM-BAG,43.73,10.934,0.955
2025-10-01 04:00:00,EM-BLR,71.09,17.774,0.922
2025-10-01 04:00:00,EM-MAIN,339.8,84.949,0.981
2025-10-01 04:15:00,EM-L1-PM,120.84,30.211,0.975
2025-10-01 04:15:00,EM-MX,50.17,12.543,0.961
2025-10-01 04:15:00,EM-HM,58.68,14.67,0.93
2025-10-01 04:15:00,EM-BAG,30.29,7.571,0.977
2025-10-01 04:15:00,EM-BLR,75.3,18.825,0.925
2025-10-01 04:15:00,EM-MAIN,346.98,86.745,0.957
2025-10-01 04:30:00,EM-L1-PM,111.67,27.918,0.936
2025-10-01 04:30:00,EM-MX,55.3,13.824,0.924
2025-10-01 04:30:00,EM-HM,62.5,15.624,0.925
2025-10-01 04:30:00,EM-BAG,42.32,10.58,0.94
2025-10-01 04:30:00,EM-BLR,65.43,16.358,0.913
2025-10-01 04:30:00,EM-MAIN,350.68,87.671,0.94
2025-10-01 04:45:00,EM-L1-PM,100.19,25.047,0.946
2025-10-01 04:45:00,EM-MX,51.09,12.773,0.943
2025-10-01 04:45:00,EM-HM,62.45,15.612,0.984
2025-10-01 04:45:00,EM-BAG,52.04,13.011,0.943
2025-10-01 04:45:00,EM-BLR,61.01,15.254,0.927
2025-10-01 04:45:00,EM-MAIN,341.01,85.253,0.94
2025-10-01 05:00:00,EM-L1-PM,112.01,28.004,0.962
2025-10-01 05:00:00,EM-MX,51.83,12.958,0.961
2025-10-01 05:00:00,EM-HM,51.77,12.942,0.914
2025-10-01 05:00:00,EM-BAG,34.09,8.522,0.944
2025-10-01 05:00:00,EM-BLR,73.21,18.302,0.958
2025-10-01 05:00:00,EM-MAIN,335.8,83.949,0.951
2025-10-01 05:15:00,EM-L1-PM,97.17,24.292,0.969
2025-10-01 05:15:00,EM-MX,48.3,12.075,0.975
2025-10-01 05:15:00,EM-HM,64.51,16.128,0.97
